Feuerwehr;;alcohol;alkohol Feuerwehr;2010;Okober 2010;0;3;0;ja;nachts;;ausserorts
Rettungswagen;Motorrad;intersection;Kreuzung;2011;24.04.2011;0;1;0;ja;nachmittag;;Landstrasse
Feuerwehr;Linienbus;intersection;Kreuzung;2011;06.07.2011;23;0;2;ja;mittags;;innerorts
Feuerwehr;Rettungswagen;unknown;unbekannt aufgefahren;2011;20.05.2011;3;2;0;ja;mittags;;Autobahn
Polizei;pkw;unknown;;2012;17.01.2012;3;1;0;ja;abend;;
Rettungswagen;pkw;red;rote ampel;2012;11.06.2012;0;0;0;ja;morgen;;Landstrasse
Rettungswagen;pkw;overtaking;überholvorgang;2012;22.06.2012;1;0;0;ja;nachmittag;;
Feuerwehr;pkw;oncoming traffic;gegenverkehr;2012;16.11.2012;0;2;2;ja;;;Landstrasse
Rettungswagen;pkw;red;rote Ampel;2012;26.11.2012;1;0;0;ja;nachmittag;;Landstrasse
Rettungswagen;pkw;turning;einbiegen;2012;30.11.2012;5;0;0;ja;abends;;ausserorts
NEF;;icy;glätte;2013;21.02.2013;0;2;0;ja;morgens;;Landstrasse
Rettungswagen;pkw;intersection;kreuzung;2013;03.07.2013;0;4;1;ja;morgens;;Innerorts
Feuerwehr;Bus;oncoming traffic;gegenverkehr;2013;03.07.2013;0;0;0;ja;abends;;
Rettungswagen;;storm;windböe, überholvorgang;2013;06.12.2013;0;1;1;ja;;;Landstrasse
Rettungswagen;pkw;intersection;kreuzung;2013;10.12.2013;0;0;0;ja;nachmittags;;Innerorts
Rettungswagen;Tram;intersection;Kreuzung;2014;03.04.2014;5;0;0;ja;nachmittags;;Innerorts
Feuerwehr;pkw;red;rote ampel;2014;10.05.2014;2;1;0;ja;nachmittags;;Landstrasse
Feuerwehr;;misc;enge Kurve;2014;14.04.2014;1;1;0;ja;morgens;;Innerorts
Rettungswagen;Kind;pedestrian;spielendes Kind;2014;13.07.2014;0;0;1;ja;abends;;Landstrasse
Rettungswagen;Transporter;overtaking;überholvorgang;2014;31.07.2014;6;0;0;ja;Abends;;Landstrasse
Rettungswagen ;pkw;intersection;kreuzung;2014;04.11.2014;1;0;0;ja;mittags;;Innerorts
Rettungswagen;pkw;intersection;Kreuzung;2014;02.02.2015;1;0;0;ja;mittags;;Innerorts
NEF;pkw;red;rote ampel;2015;02.02.2015;2;1;0;ja;nachmittags;;landstrasse
polizei;pkw;intersection;Kreuzung;2015;07.02.2015;0;0;1;ja;nachmittags;;Landstrasse
Rettungswagen;pkw;red;rote ampel;2015;20.02.2015;4;0;0;ja;morgens;;Autobahn
Rettungswagen;pkw;red;rote ampel;2015;01.03.2015;3;0;0;ja;;;Landstrasse
Rettungswagen;pkw;red;rote ampel;2015;02.03.2015;2;0;0;ja;Nachmittags;;Landstrasse
NEF;pkw;red;rote ampel;2015;21.03.2015;2;0;0;;Abends;;
rtw;pkw;overtaking;überholvorgang;2015;24.03.2015;0;1;0;;;;
polizei;pkw;red;rote ampel;2015;27.03.2015;4;0;0;ja;Abends;;Innerorts
Feuerwehr;pkw;breaking;bremsen;2015;31.03.2015;1;2;0;;nachmittags;;Landstrasse
